Designator,Footprint,Quantity,Value,LCSC Part #
"D6, D7, D8",LED_D3.0mm,3,LED,
"J1, J2, J5, J6",PJ301M-12_Thonkiconn,4,3.5mm Mono Jack,
"J3, J4",PJ301M-12_Thonkiconn_NoGround,2,3.5mm Mono Jack,
"J7, J8",Pin_Header_Straight_1x07_Pitch2.54mm,2,B1_HDR,
"R1, R3, R7, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,10k,C17414
"R15, R21",R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,2,1k,C4410
R17,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,100k,C149504
R29,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1k,C4410
"RV1, RV2, RV3",Potentiometer_Alpha_9mm_WithGround,3,B100K,
