Designator,Mid X,Mid Y,Rotation,Layer
D6,226.314,-126.238,0.0,top
J7,219.837,-91.694,0.0,bottom
J8,235.331,-91.694,0.0,bottom
R1,220.09,-74.51,180.0,bottom
R15,235.28,-154.26,90.0,bottom
R17,220.18,-151.74,270.0,bottom
R21,232.54,-112.48,90.0,bottom
R29,230.32,-111.72,0.0,bottom
R3,226.87,-71.99,180.0,bottom
R7,222.45,-72.01,90.0,bottom
R9,219.98,-72.01,90.0,bottom
